Year,Month,Average_Close_Price
,,2222.SR
2022,January,26.357975352894176
2022,February,27.653169431184466
2022,March,30.66496052949325
2022,April,31.227826404571534
2022,May,32.81880760192871
2022,June,31.303703914989125
2022,July,30.872930863324335
2022,August,31.75237448319145
2022,September,29.441941261291504
2022,October,28.861253131519664
2022,November,27.6057193392799
2022,December,25.76005708603632
