Date,Close,High,Low,Open,Volume,Daily Return,7-Day MA,30-Day MA,Volatility
,2222.SR,2222.SR,2222.SR,2222.SR,2222.SR,,,,
2022-01-02,25.764997482299805,25.909947952331915,25.764997482299805,25.909947952331915,2644521,,,,
2022-01-03,25.83747100830078,25.946185111642972,25.728758577611924,25.728758577611924,3409916,0.0028128675755068056,,,
2022-01-04,25.801233291625977,25.873707684061646,25.76499525908152,25.801233291625977,2423144,-0.001402525683073308,,,
2022-01-05,25.909942626953125,25.946180655176345,25.764992186713283,25.764992186713283,2979819,0.0042133387229372765,,,
2022-01-06,25.692520141601562,25.837470604472305,25.692520141601562,25.8012342432446,3839851,-0.008391469193196333,,,
2022-01-09,25.873708724975586,25.873708724975586,25.728758261619568,25.728758261619568,4151697,0.007052191936618879,,,
2022-01-10,25.83747100830078,25.909947077195575,25.801234646506717,25.873709042748178,3014500,-0.0014005613597954936,25.816763469151088,,
2022-01-11,26.091136932373047,26.091136932373047,25.76499795070823,25.801235987038414,5862003,0.009817753602539891,25.86335481916155,,
2022-01-12,26.344802856445312,26.344802856445312,26.018662185508393,26.091138261861822,9992188,0.009722302432805252,25.93583079746791,,
2022-01-13,26.598461151123047,26.634699182995544,26.344798273322006,26.344798273322006,8836108,0.00962839980469532,26.04972049168178,,
2022-01-16,26.63469886779785,26.888363415250215,26.598460836354203,26.598460836354203,4540152,0.001362398992517555,26.15325709751674,,
2022-01-17,26.743412017822266,26.815888082683426,26.525985495892026,26.670937625614346,5543157,0.004081636160559343,26.30338450840541,,
2022-01-18,26.670936584472656,26.815887035883367,26.634698553456683,26.743410973851425,3446885,-0.002710029419630944,26.41727420261928,,
2022-01-19,26.598461151123047,26.70717357408732,26.56222311925055,26.634699182995544,2374174,-0.0027173936363300566,26.52598708016532,,
2022-01-20,26.707172393798828,26.707172393798828,26.489747557479088,26.59845997563896,2843756,0.004087125268568137,26.613992146083287,,
2022-01-23,26.453510284423828,26.634698768312113,26.381034221807237,26.634698768312113,2237392,-0.009497902122873159,26.629521778651647,,
2022-01-24,26.308563232421875,26.489751739730128,26.23608716043721,26.453513703737798,3231124,-0.005479312591920915,26.588107790265763,,
2022-01-25,26.525983810424805,26.525983810424805,26.163606854451004,26.272320944835023,2728437,0.0082642513041149,26.5725770677839,,
2022-01-26,26.743412017822266,26.743412017822266,26.453511103684107,26.453511103684107,3605337,0.008196800878390365,26.5725770677839,,
2022-01-27,26.743412017822266,26.743412017822266,26.743412017822266,26.743412017822266,0,0.0,26.582930701119558,,
2022-01-30,26.92460060119629,27.06955105877075,26.743412111064902,26.743412111064902,5011571,0.0067750735490772485,26.62952205113002,,
2022-01-31,27.069549560546875,27.17826365220063,26.92459911099502,26.92459911099502,7035574,0.0053835138168825125,26.681290217808314,,
2022-02-01,26.99707794189453,27.17826644058689,26.888365511740446,27.142028406317753,4688510,-0.0026772377017300064,26.75894274030413,,
2022-02-02,26.63469886779785,27.17826432149303,26.56222280491055,27.033313868371625,6386366,-0.013422899873705707,26.80553354535784,,
2022-02-03,26.743412017822266,26.815888082683426,26.598461560753186,26.707173985391687,2341339,0.004081636160559343,26.83659471784319,,
2022-02-06,26.670936584472656,26.707172942835452,26.45351007103,26.45351007103,3721232,-0.002710029419630944,26.826241084507533,,
2022-02-07,26.852128982543945,26.852128982543945,26.52598832849473,26.6709404736959,4843454,0.006793627119070722,26.841772079467773,,
2022-02-08,26.99707794189453,27.2145028022027,26.85212747747131,26.85212747747131,6335674,0.005398043464069913,26.85212598528181,,
2022-02-09,26.92460060119629,26.99707666631014,26.77965014362183,26.99707666631014,2928391,-0.00268463649489159,26.831418991088867,,
2022-02-10,27.03331756591797,27.10579196606494,26.77965298377003,26.815891020170227,4019989,0.0040378301736758715,26.836596080235072,26.4909569422404,
2022-02-13,26.852128982543945,27.178267963939742,26.74341487364307,27.069553855038865,7390719,-0.0067024175975520794,26.8676575251988,26.527194658915203,
2022-02-14,27.03331756591797,27.03331756591797,26.74341494736984,26.85212905657042,5031474,0.006747643119538571,26.909072603498185,26.567056210835776,
2022-02-15,27.03331756591797,27.178268038865326,26.96084149311758,26.96084149311758,6960615,0.0,26.96084131513323,26.608125686645508,
2022-02-16,27.359451293945312,27.359451293945312,26.96083631540235,27.033312374284016,10062856,0.012064140009161006,27.033315931047714,26.656442642211914,
2022-02-17,27.359451293945312,27.46816370961471,27.17826281939425,27.359451293945312,11625549,0.0,27.08508355276925,26.712007013956704,
2022-02-20,27.323213577270508,27.468164024039975,27.250739190212336,27.286975547414862,6330190,-0.001324504511639235,27.142028263637,26.760323842366535,
2022-02-21,28.44658088684082,29.13509843838043,27.323213666230142,27.323213666230142,48049145,0.0411140258591256,27.343923023768834,26.847294171651203,
2022-02-23,29.388763427734375,29.42499978561243,28.265392844532645,28.44658132453554,34867798,0.033121117249258036,27.70629937308175,26.957215054829916,
2022-02-24,29.96856689453125,30.62084478980491,28.808959888874472,29.243812934159074,55009065,0.019728746608294268,28.125620705740793,27.07800718943278,
2022-02-27,29.678665161132812,30.40341910152181,29.243812127838137,29.968566068227133,29876642,-0.009673526746163508,28.5035275050572,27.180680656433104,
2022-02-28,30.11351203918457,30.11351203918457,29.533710279098095,29.714898747288377,29778557,0.014651834093307947,28.89696475437709,27.29664109547933,
2022-03-01,30.04104232788086,30.258467173297575,29.9323299051725,30.07727868701484,15057987,-0.00240655129197187,29.280049187796457,27.406562105814615,
2022-03-02,31.200645446777344,31.27312150915062,30.14975425093706,30.14975425093706,47862502,0.03860062864131275,29.833968026297434,27.557552401224772,
2022-03-03,32.10659408569336,32.613923275324424,31.49055245408621,31.52679216494958,38247268,0.02903621466618045,30.35682705470494,27.741156832377115,
2022-03-06,32.32402038574219,32.72263376429952,32.179068241553985,32.61392132881178,29569318,0.006772013856982451,30.77614947727748,27.928385098775227,
2022-03-07,32.46895980834961,33.33866573171452,32.39648375718489,32.97628882119678,36091703,0.004483954065050533,31.13334846496582,28.12890008290609,
2022-03-08,32.32402038574219,32.75887012769317,31.381838139132505,32.61392132881178,29356481,-0.004463937972233656,31.51125635419573,28.329415321350098,
2022-03-09,31.3818359375,32.577682679889485,31.3818359375,32.54144297373147,16874180,-0.029148120716375292,31.692445482526505,28.49127705891927,
2022-03-10,29.787384033203125,31.05570370352211,29.497483063334492,30.874515179190826,45446981,-0.050808114205694754,31.65620858328683,28.5927427927653,
2022-03-13,28.95391082763672,30.18599050238624,28.91767112392546,29.78737717870682,24656964,-0.027980745292616405,31.33524649483817,28.66642608642578,
2022-03-14,28.482826232910156,29.316292724176858,28.482826232910156,28.84520325913976,29155972,-0.01627015422997391,30.817565373012,28.718366940816242,
2022-03-15,28.08420753479004,28.41034817373386,27.903019034333845,28.120447242065286,14738124,-0.0139950542428805,30.211877822875977,28.752188873291015,
2022-03-16,29.714902877807617,29.714902877807614,28.15668250383201,28.26539493079653,23529578,0.058064495535347094,29.818441118512833,28.84278303782145,
2022-03-17,30.330942153930664,30.330942153930664,29.13509885622249,29.606188234676463,27495657,0.020731660428314314,29.533715656825475,28.96599114735921,
2022-03-20,31.345596313476562,31.816685682036283,30.765794528373245,30.802030885452368,27731094,0.03345277421309545,29.52853856767927,29.11939729054769,
2022-03-21,31.128175735473633,31.67174123780083,30.946987234697897,31.67174123780083,19634980,-0.006936239969040026,29.7200802394322,29.26797192891439,
